,Fl_CO2,Fl_H2O,Fv_CO2,Fv_H2O,Tl,Tv,P
0,-2334.496324935695,-31899.632579913676,2.417052823368904,-31899.632411901606,-480455.47234491707,-143902.2276392834,3.879373431676705e-06
1,12268.702016227035,146356.3950964946,4.148844896965201,146356.39431271277,2251081.2045488167,687725.6826935221,-1.797413093231459e-05
2,-27339.429697387746,-284819.5771525869,0.0,-284819.57559834205,-4486055.079732165,-1407425.169712708,3.522967921291924e-05
3,33454.30463810476,306929.9906854051,0.0,306929.98897754727,4959285.304943884,1614282.4324170356,-3.797970838210705e-05
4,-24258.365975417426,-200908.2710988586,0.0,-200908.26996251513,-3325741.0402941713,-1141118.2658923087,2.4450976369906062e-05
5,10441.632174815137,82610.27399115027,0.0,82610.27352138213,1389417.328476824,514939.2606585564,-9.494786847838934e-06
6,-2520.375282154434,-21289.333202864607,0.0,-21289.333083770285,-356908.7779141721,-148270.89564644094,2.109150445776875e-06
7,311.1850034421209,3252.359522860143,0.0,3252.3595052667542,53331.165963490166,26288.56308040725,-2.261828646289118e-07
8,-23.31548604370234,-245.6355400841547,0.0,-245.63553872274295,-4166.423508828898,-2717.0902667167666,5.365304116273794e-09
9,-1.8407561025232209,16.582167702457852,0.0,16.58216765973364,205.56390271449055,218.35817619564344,3.765074426794056e-10
