Run #,L_G,vapor_flow_rate,CO2_loading,w_MEA,y_CO2,T_liq,T_vap,P,Beds,D
1,2,20,0.15,0.3,0.1,315,320,109180,1,0.64
2,2,20,0.15,0.3,0.1,315,320,109180,1,0.64
3,2,20,0.15,0.3,0.1,315,320,109180,1,0.64
4,2,20,0.15,0.3,0.1,315,320,109180,1,0.64
5,2,20,0.15,0.3,0.1,315,320,109180,1,0.64
6,2,20,0.15,0.3,0.1,315,320,109180,1,0.64
7,2,20,0.15,0.3,0.1,315,320,109180,1,0.64
8,2,20,0.15,0.3,0.1,315,320,109180,1,0.64
9,2,20,0.15,0.3,0.1,315,320,109180,1,0.64
10,2,20,0.15,0.3,0.1,315,320,109180,1,0.64
11,2,20,0.15,0.3,0.1,315,320,109180,1,0.64
