x_CO2,y_CO2,x_H2O,y_H2O
0.016461545,8.2931E-06,0.87235045,0.182947466
0.016194879,8.2931E-06,0.874419773,0.182947466
0.015942247,8.60402E-06,0.876380399,0.230984163
0.01574115,8.98132E-06,0.877941529,0.272812836
0.015602693,9.48848E-06,0.879017063,0.303834504
0.015516729,1.01534E-05,0.879685713,0.324132965
0.015466797,1.09783E-05,0.880075155,0.336339478
0.01543898,1.19573E-05,0.880293346,0.343310468
0.015423926,1.30871E-05,0.88041285,0.347174446
0.015415999,1.43695E-05,0.880477383,0.349280415
0.015411996,1.5812E-05,0.880511846,0.350417106
0.015410144,1.74263E-05,0.880530004,0.351026749
0.015409484,1.92276E-05,0.880539349,0.351351863
0.0154095,2.12349E-05,0.880543921,0.35152388
0.015409921,2.34696E-05,0.880545889,0.351613576
0.015410604,2.59566E-05,0.880546408,0.351658918
0.015411479,2.87237E-05,0.880546091,0.351680225
0.015412514,3.18019E-05,0.880545262,0.351688341
0.015413698,3.5226E-05,0.880544084,0.351689033
0.015415033,3.90347E-05,0.880542637,0.351685344
0.015416527,4.32712E-05,0.880540954,0.351678855
0.015418194,4.79834E-05,0.880539043,0.351670363
0.01542005,5.32247E-05,0.880536897,0.351660235
0.015422117,5.90544E-05,0.880534499,0.351648604
0.015424416,6.55384E-05,0.880531825,0.351635473
0.015426973,7.27503E-05,0.880528849,0.351620764
0.015429818,8.07716E-05,0.880525536,0.351604347
0.015432982,8.96931E-05,0.880521851,0.351586058
0.015436501,9.96157E-05,0.880517753,0.3515657
0.015440414,0.000110652,0.880513194,0.351543049
0.015444766,0.000122926,0.880508124,0.351517852
0.015449607,0.000136576,0.880502485,0.351489825
0.01545499,0.000151758,0.880496214,0.351458653
0.015460976,0.000168642,0.880489241,0.351423983
0.015467633,0.000187418,0.880481486,0.351385425
0.015475035,0.0002083,0.880472862,0.351342544
0.015483267,0.000231521,0.880463272,0.351294855
0.015492419,0.000257343,0.88045261,0.35124182
0.015502596,0.000286058,0.880440753,0.351182844
0.01551391,0.000317987,0.880427571,0.35111726
0.01552649,0.000353489,0.880412915,0.351044332
0.015540474,0.000392962,0.880396622,0.350963239
0.01555602,0.000436849,0.880378509,0.350873071
0.0155733,0.000485641,0.880358374,0.350772817
0.015592506,0.000539882,0.880335994,0.350661354
0.015613852,0.000600177,0.880311121,0.350537435
0.015637573,0.000667197,0.880283479,0.350399676
0.015663931,0.000741687,0.880252762,0.350246541
0.015693216,0.000824471,0.880218633,0.350076327
0.015725748,0.000916463,0.880180718,0.349887143
0.015761882,0.001018678,0.880138602,0.349676894
0.01580201,0.001132236,0.880091827,0.349443258
0.015846566,0.00125838,0.880039887,0.349183661
0.015896029,0.001398484,0.879982222,0.348895255
0.015950927,0.001554066,0.879918215,0.348574886
0.016011842,0.001726804,0.879847184,0.348219065
0.016079415,0.00191855,0.879768381,0.347823934
0.016154351,0.002131347,0.879680979,0.347385232
0.016237425,0.002367446,0.879584073,0.346898255
0.016329485,0.002629324,0.879476665,0.346357815
0.016431462,0.002919705,0.879357667,0.345758194
0.016544371,0.003241579,0.879225884,0.345093097
0.016669321,0.003598222,0.879080015,0.344355607
0.016807518,0.00399322,0.878918641,0.343538124
0.01696027,0.004430491,0.878740221,0.342632319
0.017128993,0.004914302,0.878543084,0.341629075
0.017315213,0.005449292,0.878325429,0.340518431
0.017520569,0.006040493,0.878085312,0.339289527
0.017746816,0.00669334,0.877820655,0.337930547
0.017995817,0.007413688,0.877529239,0.336428675
0.018269548,0.008207818,0.877208707,0.334770042
0.018570081,0.009082437,0.876856575,0.332939693
0.018899581,0.010044669,0.876470243,0.330921558
0.019260283,0.011102039,0.876047006,0.328698437
0.019654473,0.012262441,0.875584082,0.326252005
0.020084459,0.013534087,0.875078638,0.323562834
0.020552536,0.014925449,0.874527832,0.320610444
0.021060943,0.016445168,0.87392885,0.31737338
0.021611808,0.018101949,0.873278972,0.31382932
0.022207096,0.019904425,0.872575624,0.309955227
0.022848534,0.021860999,0.871816458,0.305727522
0.023537542,0.023979661,0.870999427,0.30112231
0.024275155,0.026267776,0.870122869,0.296115622
0.025061939,0.028731856,0.869185594,0.290683687
0.025897916,0.03137732,0.868186967,0.284803211
0.02678249,0.034208249,0.867126987,0.278451647
0.027714385,0.037227147,0.866006343,0.271607411
0.028691603,0.040434737,0.864826464,0.264250033
0.0297114,0.043829799,0.86358953,0.256360169
0.030770297,0.047409074,0.862298449,0.247919424
0.031864117,0.051167263,0.860956799,0.238909919
0.032988061,0.055097139,0.859568718,0.229313501
0.034136817,0.059189793,0.858138743,0.219110495
0.035304704,0.063435036,0.856671605,0.208277858
0.036485843,0.067821975,0.855171956,0.196786527
0.037674353,0.072339789,0.853644038,0.184597677
0.038864567,0.076978732,0.852091267,0.171657387
0.040051274,0.081731469,0.850515692,0.157888879
0.041229999,0.086594871,0.848917239,0.143180771
0.042397371,0.091572632,0.847292544,0.127368395
0.043551676,0.096679388,0.845632989,0.110202318
